,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
258,"A_english_entrance+scroll+_2018/10/28 0:38:2_7%_8","1","1","0","0",
259,"A_english_entrance+scroll+_2018/10/24 0:9:59_3%_7","1","1","0","0",
260,"A_english_entrance+scroll+_2018/10/27 0:15:18_49%_47","1","1","0","0",
261,"A_english_entrance+scroll+_2018/10/25 0:42:22_61%_74","1","1","0","0",
262,"A_english_entrance+scroll+_2018/10/25 0:0:42_12%_9","1","1","0","0",
263,"A_english_entrance+scroll+_2018/10/31 0:0:56_55%_68","1","1","0","0",
264,"A_english_entrance+scroll+_2018/10/27 0:3:55_32%_64","1","1","0","0",
265,"A_english_entrance+scroll+_2018/10/28 1:13:37_43%_19","1","1","0","0",
266,"A_english_entrance+scroll+_2018/10/25 0:46:42_25%_46","1","1","0","0",
267,"A_english_entrance+scroll+_2018/10/29 0:4:2_55%_88","1","1","0","0",
268,"A_english_entrance+scroll+_2018/10/31 0:39:1_23%_31","1","1","0","0",
269,"A_english_entrance+scroll+_2018/10/30 0:31:12_11%_13","1","1","0","0",
270,"A_english_entrance+scroll+_2018/10/24 0:15:25_96%_103","1","1","0","0",
271,"A_english_entrance+scroll+_2018/10/27 0:23:22_65%_16","1","1","0","0",
272,"A_english_entrance+scroll+_2018/10/23 0:2:16_6%_4","1","1","0","0",
273,"A_english_entrance+scroll+_2018/10/31 0:5:26_23%_25","1","1","0","0",
274,"A_english_entrance+scroll+_2018/10/22 0:19:50_49%_18","1","1","0","0",
275,"A_english_entrance+scroll+_2018/10/24 0:13:57_77%_19","1","1","0","0",
276,"A_english_entrance+scroll+_2018/10/23 0:6:11_73%_58","1","1","0","0",
277,"A_english_entrance+scroll+_2018/10/26 0:0:2_2%_4","1","1","0","0",
278,"A_english_entrance+scroll+_2018/10/26 0:0:22_6%_16","1","1","0","0",
279,"A_english_entrance+scroll+_2018/10/23 0:2:3_5%_27","1","1","0","0",
280,"A_english_entrance+scroll+_2018/10/31 0:24:36_26%_51","1","1","0","0",
281,"A_english_entrance+scroll+_2018/10/22 0:2:8_3%_3","1","1","0","0",
282,"A_english_entrance+scroll+_2018/10/28 16:18:52_64%_57","1","1","0","0",
283,"A_english_entrance+scroll+_2018/10/23 0:0:50_42%_9","1","1","0","0",
284,"A_english_entrance+scroll+_2018/10/24 0:7:40_105%_52","1","1","0","0",
285,"A_english_entrance+scroll+_2018/10/25 0:29:44_57%_16","1","1","0","0",
286,"A_english_entrance+scroll+_2018/10/30 0:5:7_14%_38","1","1","0","0",
287,"A_english_entrance+scroll+_2018/10/27 0:23:22_57%_14","1","1","0","0",
288,"A_english_entrance+scroll+_2018/10/26 0:8:51_26%_18","1","1","0","0",
289,"A_english_entrance+scroll+_2018/10/25 0:2:12_96%_94","1","1","0","0",
290,"A_english_entrance+scroll+_2018/10/29 0:28:49_1%_22","1","1","0","0",
291,"A_english_entrance+scroll+_2018/10/28 1:13:37_95%_44","1","1","0","0",
292,"A_english_entrance+scroll+_2018/10/30 0:22:9_88%_239","1","1","0","0",
293,"A_english_entrance+scroll+_2018/10/29 0:29:39_9%_14","1","1","0","0",
294,"A_english_entrance+scroll+_2018/10/26 23:59:47_39%_18","1","1","0","0",
295,"A_english_entrance+scroll+_2018/10/30 0:18:16_13%_3","1","1","0","0",
296,"A_english_entrance+scroll+_2018/10/29 0:22:35_2%_2","1","1","0","0",
297,"A_english_entrance+scroll+_2018/10/22 1:54:17_63%_237","1","1","0","0",
298,"A_english_entrance+scroll+_2018/10/24 0:2:35_11%_21","1","1","0","0",
299,"A_english_entrance+scroll+_2018/10/23 0:3:24_60%_50","1","1","0","0",
300,"A_english_entrance+scroll+_2018/10/30 0:38:30_14%_14","1","1","0","0",
301,"A_english_entrance+scroll+_2018/10/30 0:22:52_28%_18","1","1","0","0",
302,"A_english_entrance+scroll+_2018/10/30 0:18:13_8%_8","1","1","0","0",
303,"A_english_entrance+scroll+_2018/10/25 0:38:47_9%_7","1","1","0","0",
304,"A_english_entrance+scroll+_2018/10/25 0:19:52_11%_4","1","1","0","0",
305,"A_english_entrance+scroll+_2018/10/24 0:17:35_62%_24","1","1","0","0",
306,"A_english_entrance+scroll+_2018/10/24 0:2:5_2%_10","1","1","0","0",
307,"A_english_entrance+scroll+_2018/10/29 0:22:46_3%_5","1","1","0","0",
308,"A_english_entrance+scroll+_2018/10/23 0:4:46_91%_411","1","1","0","0",
309,"A_english_entrance+scroll+_2018/10/24 0:7:38_100%_70","1","1","0","0",
310,"A_english_entrance+scroll+_2018/10/31 0:56:55_10%_27","1","1","0","0",
311,"A_english_entrance+scroll+_2018/10/30 0:48:54_92%_107","1","1","0","0",
312,"A_english_entrance+scroll+_2018/10/22 0:33:56_8%_20","1","1","0","0",
313,"A_english_entrance+scroll+_2018/10/29 0:15:52_3%_8","1","1","0","0",
314,"A_english_entrance+scroll+_2018/10/22 0:37:45_52%_27","1","1","0","0",
315,"A_english_entrance+scroll+_2018/10/24 0:2:17_10%_14","1","1","0","0",
316,"A_english_entrance+scroll+_2018/10/27 0:3:23_62%_147","1","1","0","0",
