序号,全部事件 (类型+操作+标签),事件总数,唯一访客事件数,事件价值,平均价值
,A_english_entrance+scroll+_2018/10/23 0:3:24_60%_50,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:38:30_14%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:22:52_28%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:18:13_8%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:38:47_9%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:19:52_11%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:17:35_62%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:2:5_2%_10,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:22:46_3%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:4:46_91%_411,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:7:38_100%_70,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:56:55_10%_27,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:48:54_92%_107,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:33:56_8%_20,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:15:52_3%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:37:45_52%_27,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:2:17_10%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:3:23_62%_147,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:47:7_NaN%_47,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:20:32_6%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:27:39_100%_114,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:21:1_100%_429,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:2:55_74%_33,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:12:46_21%_218,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:20:33_5%_17,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:26:19_99%_150,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:27:17_93%_103,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:0:48_98%_54,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:22:49_96%_149,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:37:32_60%_96,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:0:8_81%_53,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:15:30_41%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 1:28:53_100%_72,1,1,0,0
,ENGLISH+UID：2619735130106439307+http:/english/user/watering-e-2924-Request failed with status code 400,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:3:23_53%_136,1,1,0,0
,ENGLISH+UID：2619735130116197040+http:/english/study/exam_answer-e-2290-Request failed with status code 400,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:22:49_17%_40,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:4:40_5%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:20:41_2%_15,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:7:40_12%_51,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:27:26_25%_4,1,1,0,0
