# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2618972521795499272_2019/7/20 23:30:51_57%_18,1,1,0,0.00
2618972521795499272_2019/7/20 23:30:51_74%_19,1,1,0,0.00
2618972521795620838_2019/7/20 8:42:56_12%_7,1,1,0,0.00
2618972521795620838_2019/7/20 8:42:56_21%_7,1,1,0,0.00
2618972521795620838_2019/7/20 8:42:56_31%_11,1,1,0,0.00
2618972521795620838_2019/7/20 8:42:56_34%_13,1,1,0,0.00
2618972521795620838_2019/7/20 8:42:56_41%_19,1,1,0,0.00
2618972521795620838_2019/7/20 8:42:56_58%_20,1,1,0,0.00
2618972521795620838_2019/7/20 8:42:56_7%_6,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_10%_18,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_14%_20,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_31%_28,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_34%_31,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_35%_31,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_41%_34,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_44%_35,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_56%_38,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_57%_38,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_58%_39,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_64%_41,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_7%_16,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_73%_43,1,1,0,0.00
2619182023906034423_2019/7/19 19:20:55_79%_47,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_1%_7,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_10%_17,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_100%_102,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_11%_18,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_17%_30,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_19%_30,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_2%_9,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_20%_32,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_24%_41,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_26%_50,1,1,0,0.00
2619182023906259309_2019/7/19 23:40:5_27%_51,1,1,0,0.00
